timestamp,reader,antenna,rssi,epc,phase_angle,channel_index,doppler_frequency
1747682777.180141,192.168.0.219:5084,1,-57,b'303435fc8803d056d15b963f',4056,13,156
1747682777.212002,192.168.0.219:5084,2,-66,b'303435fc8803d056d15b963f',3618,13,-575
1747682777.351817,192.168.0.219:5084,1,-58,b'303435fc8803d056d15b963f',920,13,-1289
1747682777.2571,192.168.0.219:5084,2,-67,b'303435fc8803d056d15b963f',3682,13,1279
1747682777.324804,192.168.0.219:5084,4,-58,b'303435fc8803d056d15b963f',838,14,-4607
1747682777.496533,192.168.0.219:5084,1,-56,b'303435fc8803d056d15b963f',1316,14,-527
1747682777.552956,192.168.0.219:5084,3,-65,b'303435fc8803d056d15b963f',1772,15,937
1747682777.463608,192.168.0.219:5084,4,-66,b'303435fc8803d056d15b963f',568,14,2943
1747682777.693235,192.168.0.219:5084,1,-57,b'303435fc8803d056d15b963f',1768,15,0
1747682777.763141,192.168.0.219:5084,3,-64,b'303435fc8803d056d15b963f',3716,15,-639
1747682777.927528,192.168.0.219:5084,1,-60,b'303435fc8803d056d15b963f',3538,16,63
1747682777.984137,192.168.0.219:5084,3,-66,b'303435fc8803d056d15b963f',2552,16,527
1747682778.138305,192.168.0.219:5084,1,-62,b'303435fc8803d056d15b963f',920,17,527
1747682778.09684,192.168.0.219:5084,3,-66,b'303435fc8803d056d15b963f',3084,17,28
1747682778.283854,192.168.0.219:5084,1,-55,b'303435fc8803d056d15b963f',3504,18,-127
1747682778.186266,192.168.0.219:5084,2,-65,b'303435fc8803d056d15b963f',184,18,-2175
1747682778.298155,192.168.0.219:5084,1,-59,b'303435fc8803d056d15b963f',3732,19,-878
1747682778.330777,192.168.0.219:5084,2,-65,b'303435fc8803d056d15b963f',650,19,-4543
1747682778.371873,192.168.0.219:5084,3,-70,b'303435fc8803d056d15b963f',3816,19,1919
1747682778.399997,192.168.0.219:5084,4,-58,b'303435fc8803d056d15b963f',3422,19,4095
1747682778.668493,192.168.0.219:5084,1,-50,b'303435fc8803d056d15b963f',1288,19,78
1747682778.447965,192.168.0.219:5084,2,-66,b'303435fc8803d056d15b963f',3684,19,-3263
1747682778.933111,192.168.0.219:5084,1,-52,b'303435fc8803d056d15b963f',1224,21,-761
1747682778.778606,192.168.0.219:5084,4,-59,b'303435fc8803d056d15b963f',2568,21,-2011
1747682779.111594,192.168.0.219:5084,1,-54,b'303435fc8803d056d15b963f',3132,22,12
1747682779.053626,192.168.0.219:5084,4,-63,b'303435fc8803d056d15b963f',32,22,11263
1747682779.261024,192.168.0.219:5084,1,-53,b'303435fc8803d056d15b963f',1512,23,332
1747682779.36212,192.168.0.219:5084,4,-61,b'303435fc8803d056d15b963f',336,23,-4095
1747682779.624352,192.168.0.219:5084,1,-54,b'303435fc8803d056d15b963f',3660,24,488
1747682779.597696,192.168.0.219:5084,4,-58,b'303435fc8803d056d15b963f',2534,25,3839
1747682779.762128,192.168.0.219:5084,1,-55,b'303435fc8803d056d15b963f',2924,25,-273
1747682779.794586,192.168.0.219:5084,2,-65,b'303435fc8803d056d15b963f',698,26,2495
1747682779.733787,192.168.0.219:5084,4,-59,b'303435fc8803d056d15b963f',1276,26,410
1747682779.809138,192.168.0.219:5084,1,-56,b'303435fc8803d056d15b963f',2856,26,-195
1747682779.838163,192.168.0.219:5084,2,-68,b'303435fc8803d056d15b963f',3024,26,2265
1747682779.913771,192.168.0.219:5084,4,-60,b'303435fc8803d056d15b963f',3128,26,2431
1747682780.055149,192.168.0.219:5084,1,-55,b'303435fc8803d056d15b963f',2152,27,-234
1747682779.995337,192.168.0.219:5084,3,-62,b'303435fc8803d056d15b963f',4032,27,-639
1747682780.027352,192.168.0.219:5084,4,-57,b'303435fc8803d056d15b963f',188,27,-255
1747682780.069105,192.168.0.219:5084,1,-57,b'303435fc8803d056d15b963f',2052,27,117
1747682780.260056,192.168.0.219:5084,3,-66,b'303435fc8803d056d15b963f',2616,28,449
1747682780.175501,192.168.0.219:5084,4,-57,b'303435fc8803d056d15b963f',564,28,1054
1747682780.470167,192.168.0.219:5084,3,-65,b'303435fc8803d056d15b963f',318,29,3647
1747682780.498816,192.168.0.219:5084,4,-57,b'303435fc8803d056d15b963f',2616,29,410
1747682780.538253,192.168.0.219:5084,1,-68,b'303435fc8803d056d15b963f',456,30,511
1747682780.685202,192.168.0.219:5084,2,-64,b'303435fc8803d056d15b963f',308,30,1445
