antenna_port,epc,first_seen_timestamp,mac_address,peak_rssi,reader_name,tid,timestamp
2,303435FC8803D056D15B963F,1744913139989244,00:16:25:12:77:b9,-65,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:04:31
3,303435FC8803D056D15B963F,1744913140016556,00:16:25:12:77:b9,-54,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:04:31
3,303435FC8803D056D15B963F,1744913140037428,00:16:25:12:77:b9,-54,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:04:31
4,303435FC8803D056D15B963F,1744913140074442,00:16:25:12:77:b9,-51,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:04:31
4,303435FC8803D056D15B963F,1744913140093962,00:16:25:12:77:b9,-51,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:04:31
2,303435FC8803D056D15B963F,1744913140136250,00:16:25:12:77:b9,-58,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:04:31
2,303435FC8803D056D15B963F,1744913140158626,00:16:25:12:77:b9,-58,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:04:31
3,303435FC8803D056D15B963F,1744913140186112,00:16:25:12:77:b9,-54,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:04:31
3,303435FC8803D056D15B963F,1744913140205987,00:16:25:12:77:b9,-53,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:04:31
4,303435FC8803D056D15B963F,1744913140233419,00:16:25:12:77:b9,-49,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:04:31
4,303435FC8803D056D15B963F,1744913140279297,00:16:25:12:77:b9,-48,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:04:31
1,303435FC8803D056D15B963F,1744913140304343,00:16:25:12:77:b9,-57,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:04:31
1,303435FC8803D056D15B963F,1744913140325453,00:16:25:12:77:b9,-56,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:04:31
2,303435FC8803D056D15B963F,1744913140352589,00:16:25:12:77:b9,-55,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:04:31
2,303435FC8803D056D15B963F,1744913140371332,00:16:25:12:77:b9,-56,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:04:31
3,303435FC8803D056D15B963F,1744913140395180,00:16:25:12:77:b9,-52,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:04:31
3,303435FC8803D056D15B963F,1744913140417583,00:16:25:12:77:b9,-54,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:04:31
4,303435FC8803D056D15B963F,1744913140447035,00:16:25:12:77:b9,-64,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:04:31
4,303435FC8803D056D15B963F,1744913140489027,00:16:25:12:77:b9,-62,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:04:31
1,303435FC8803D056D15B963F,1744913140512277,00:16:25:12:77:b9,-60,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:04:31
1,303435FC8803D056D15B963F,1744913140535084,00:16:25:12:77:b9,-60,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:04:31
3,303435FC8803D056D15B963F,1744913140578003,00:16:25:12:77:b9,-52,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:04:31
3,303435FC8803D056D15B963F,1744913140598759,00:16:25:12:77:b9,-52,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:04:31
