timestamp,reader,antenna,rssi,epc,phase_angle,channel_index,doppler_frequency
1753219173.605717,192.168.0.219:5084,2,-63,b'303435fc8803d056d15b963f',3856,1,-19
1753219174.169356,192.168.0.219:5084,2,-65,b'303435fc8803d056d15b963f',2364,3,-1663
1753219174.782993,192.168.0.219:5084,2,-61,b'303435fc8803d056d15b963f',196,6,-3
1753219175.380658,192.168.0.219:5084,2,-60,b'303435fc8803d056d15b963f',2760,9,-1054
1753219175.997519,192.168.0.219:5084,2,-60,b'303435fc8803d056d15b963f',856,12,8
1753219176.609709,192.168.0.219:5084,2,-61,b'303435fc8803d056d15b963f',260,15,-6
1753219177.217165,192.168.0.219:5084,2,-60,b'303435fc8803d056d15b963f',488,18,0
1753219177.818079,192.168.0.219:5084,2,-59,b'303435fc8803d056d15b963f',468,21,-1791
1753219178.43252,192.168.0.219:5084,2,-59,b'303435fc8803d056d15b963f',3124,24,767
1753219179.055574,192.168.0.219:5084,2,-60,b'303435fc8803d056d15b963f',2452,27,3
1753219179.654584,192.168.0.219:5084,2,-60,b'303435fc8803d056d15b963f',180,30,191
1753219180.269019,192.168.0.219:5084,2,-61,b'303435fc8803d056d15b963f',3472,33,3
1753219180.881365,192.168.0.219:5084,2,-61,b'303435fc8803d056d15b963f',20,36,-1
1753219181.48177,192.168.0.219:5084,2,-62,b'303435fc8803d056d15b963f',3964,39,3583
1753219181.689687,192.168.0.219:5084,2,-67,b'303435fc8803d056d15b963f',2772,42,6
