timestamp,reader,antenna,rssi,epc,phase_angle,channel_index,doppler_frequency
1746728208.815138,192.168.0.219:5084,3,-34,b'303401ad2c2ce11e88eaca05',3394,20,136
1746728208.900425,192.168.0.219:5084,4,-54,b'303401ad2c2ce11e88eaca05',544,20,175
1746728208.76931,192.168.0.219:5084,2,-60,b'1a9ec09d9a89a0340cbe709c',972,20,126
1746728208.842004,192.168.0.219:5084,3,-61,b'1a9ec09d9a89a0340cbe709c',3332,20,68
1746728208.903008,192.168.0.219:5084,4,-58,b'1a9ec09d9a89a0340cbe709c',706,21,48
1746728208.748317,192.168.0.219:5084,2,-50,b'302c4ddcd020f3574bcb872d',3568,20,156
1746728208.845392,192.168.0.219:5084,3,-65,b'302c4ddcd020f3574bcb872d',3798,20,117
1746728208.746525,192.168.0.219:5084,2,-57,b'3034047138105841dcd6558d',616,20,263
1746728208.872801,192.168.0.219:5084,4,-63,b'3034047138105841dcd6558d',606,21,97
1746728208.740717,192.168.0.219:5084,2,-48,b'303400eda43f628000009f3f',546,20,146
1746728208.761191,192.168.0.219:5084,2,-59,b'300811112222014000000000',3054,20,0
1746728208.816908,192.168.0.219:5084,3,-44,b'300811112222014000000000',158,20,175
1746728208.731266,192.168.0.219:5084,2,-64,b'30340bb6884191844ce0046d',3340,20,97
1746728208.891509,192.168.0.219:5084,4,-71,b'30340bb6884191844ce0046d',1740,21,253
1746728208.760303,192.168.0.219:5084,2,-61,b'e2806995000040175bd46647',2968,20,39
1746728208.820891,192.168.0.219:5084,3,-50,b'e2806995000040175bd46647',2780,20,78
1746728208.877394,192.168.0.219:5084,4,-54,b'e2806995000040175bd46647',64,21,146
1746728208.762077,192.168.0.219:5084,2,-56,b'302a0fecf89f08758d158d55',3410,20,48
1746728208.831486,192.168.0.219:5084,3,-53,b'302a0fecf89f08758d158d55',1770,20,224
1746728208.899286,192.168.0.219:5084,4,-57,b'302a0fecf89f08758d158d55',1148,21,136
1746728208.742486,192.168.0.219:5084,2,-38,b'303402b6f00cacd6d1467dfc',3802,20,97
1746728208.890615,192.168.0.219:5084,4,-65,b'303402b6f00cacd6d1467dfc',3384,21,19
1746728208.766698,192.168.0.219:5084,2,-60,b'30340212e43c789b0223addd',856,20,117
1746728208.842877,192.168.0.219:5084,3,-62,b'30340212e43c789b0223addd',120,20,58
1746728208.757634,192.168.0.219:5084,2,-52,b'30340bf45421f28ba43b772d',64,20,117
1746728208.881323,192.168.0.219:5084,4,-70,b'30340bf45421f28ba43b772d',3484,21,-156
1746728208.741596,192.168.0.219:5084,2,-40,b'303424f330014cce6f7d749d',3018,20,78
1746728208.836112,192.168.0.219:5084,3,-60,b'303424f330014cce6f7d749d',2054,20,-244
1746728208.702265,192.168.0.219:5084,1,-54,b'1a2ec09d9a89a41d45b062ab',1366,20,29
1746728208.759412,192.168.0.219:5084,2,-54,b'1a2ec09d9a89a41d45b062ab',624,20,146
1746728208.837194,192.168.0.219:5084,3,-63,b'1a2ec09d9a89a41d45b062ab',1054,20,126
1746728208.901555,192.168.0.219:5084,4,-58,b'1a2ec09d9a89a41d45b062ab',218,21,175
1746728208.70091,192.168.0.219:5084,1,-64,b'303400edb44de500000506ca',3644,20,146
1746728208.747431,192.168.0.219:5084,2,-53,b'303400edb44de500000506ca',746,20,136
1746728208.858394,192.168.0.219:5084,4,-50,b'303400edb44de500000506ca',758,20,136
1746728208.700009,192.168.0.219:5084,1,-54,b'303211468e03e29b022504c1',3112,20,126
1746728208.821798,192.168.0.219:5084,3,-63,b'303211468e03e29b022504c1',784,20,166
1746728208.882564,192.168.0.219:5084,4,-65,b'303211468e03e29b022504c1',2354,21,273
1746728208.692105,192.168.0.219:5084,1,-45,b'30340bcb6820ef56d141853c',3938,20,87
1746728208.755879,192.168.0.219:5084,2,-59,b'30340bcb6820ef56d141853c',3518,20,19
1746728208.829209,192.168.0.219:5084,3,-61,b'30340bcb6820ef56d141853c',1086,20,-117
1746728208.888681,192.168.0.219:5084,4,-63,b'30340bcb6820ef56d141853c',920,21,117
1746728208.688763,192.168.0.219:5084,1,-65,b'30340592ac54555176592e7e',4042,20,-185
1746728208.773539,192.168.0.219:5084,2,-68,b'30340592ac54555176592e7e',2504,20,39
