timestamp,reader,antenna,epc,phase_angle,channel_index,doppler_frequency,rssi,,,epc,(All),,,,,
1753823917,192.168.0.219:5084,1,b'303435fc8803d056d15b963f',2460,28,332,-49,,,,,,,,,
1753823917,192.168.0.219:5084,2,b'303435fc8803d056d15b963f',3632,28,-127,-67,,,Row Labels,Average of rssi,RSSI0,d0,RSSI,d,n
1753823917,192.168.0.219:5084,3,b'303435fc8803d056d15b963f',988,28,488,-52,,,1,-50.87732342,-50.87732343,10.60660172,-58.67297297,4.242640687,1.959001199
1753823917,192.168.0.219:5084,4,b'303435fc8803d056d15b963f',3532,28,0,-68,,,2,-54.70895522,-54.70895522,10.60660172,-64.05603448,4.242640687,2.348866427
1753823917,192.168.0.219:5084,1,b'303435fc8803d056d15b963f',2672,28,78,-48,,,3,-56.27715356,-56.27715356,10.60660172,-64.28965517,4.242640687,2.013494858
1753823917,192.168.0.219:5084,2,b'303435fc8803d056d15b963f',1524,28,511,-68,,,4,-57.56521739,-57.56521739,10.60660172,-61.0375,4.242640687,0.87256434
1753823917,192.168.0.219:5084,3,b'303435fc8803d056d15b963f',582,28,1279,-48,,,(blank),,,,,,
1753823917,192.168.0.219:5084,1,b'303435fc8803d056d15b963f',2196,29,117,-49,,,Grand Total,-54.47770701,,,,,
1753823917,192.168.0.219:5084,2,b'303435fc8803d056d15b963f',3088,29,3671,-66,,,,,,,,,
1753823917,192.168.0.219:5084,3,b'303435fc8803d056d15b963f',656,29,39,-52,,,Row Labels,Count of antenna,,,,,
1753823917,192.168.0.219:5084,4,b'303435fc8803d056d15b963f',3112,29,800,-67,,,1,269,,,,,
1753823917,192.168.0.219:5084,1,b'303435fc8803d056d15b963f',2148,29,-117,-50,,,2,268,,,,,
1753823917,192.168.0.219:5084,2,b'303435fc8803d056d15b963f',1008,29,1599,-64,,,3,267,,,,,
1753823917,192.168.0.219:5084,3,b'303435fc8803d056d15b963f',2944,29,767,-50,,,4,138,,,,,
1753823917,192.168.0.219:5084,1,b'303435fc8803d056d15b963f',4048,30,234,-51,,,(blank),,,,,,
1753823917,192.168.0.219:5084,2,b'303435fc8803d056d15b963f',592,30,371,-62,,,Grand Total,942,,,,,
1753823917,192.168.0.219:5084,3,b'303435fc8803d056d15b963f',3052,30,0,-51,,,,,,,,,
1753823917,192.168.0.219:5084,4,b'303435fc8803d056d15b963f',1072,30,-156,-59,,,,,,,,,
1753823917,192.168.0.219:5084,1,b'303435fc8803d056d15b963f',200,30,273,-50,,,,,,,,,
1753823917,192.168.0.219:5084,2,b'303435fc8803d056d15b963f',992,30,-527,-62,,,,,,,,,
1753823917,192.168.0.219:5084,3,b'303435fc8803d056d15b963f',3908,30,767,-49,,,,,,,,,
1753823917,192.168.0.219:5084,1,b'303435fc8803d056d15b963f',2436,31,-117,-48,,,,,,,,,
1753823917,192.168.0.219:5084,3,b'303435fc8803d056d15b963f',1956,31,273,-52,,,,,,,,,
1753823917,192.168.0.219:5084,4,b'303435fc8803d056d15b963f',3824,31,449,-60,,,,,,,,,
1753823917,192.168.0.219:5084,1,b'303435fc8803d056d15b963f',3112,31,39,-51,,,,,,,,,
1753823917,192.168.0.219:5084,2,b'303435fc8803d056d15b963f',3372,32,447,-65,,,,,,,,,
1753823917,192.168.0.219:5084,3,b'303435fc8803d056d15b963f',1248,32,234,-50,,,,,,,,,
1753823918,192.168.0.219:5084,1,b'303435fc8803d056d15b963f',3120,32,78,-53,,,,,,,,,
1753823918,192.168.0.219:5084,2,b'303435fc8803d056d15b963f',3120,32,156,-65,,,,,,,,,
1753823918,192.168.0.219:5084,3,b'303435fc8803d056d15b963f',1140,32,234,-51,,,,,,,,,
1753823918,192.168.0.219:5084,4,b'303435fc8803d056d15b963f',638,33,255,-64,,,,,,,,,
1753823918,192.168.0.219:5084,1,b'303435fc8803d056d15b963f',400,33,371,-53,,,,,,,,,
1753823918,192.168.0.219:5084,2,b'303435fc8803d056d15b963f',3972,33,117,-62,,,,,,,,,
1753823918,192.168.0.219:5084,3,b'303435fc8803d056d15b963f',2084,33,273,-54,,,,,,,,,
1753823918,192.168.0.219:5084,4,b'303435fc8803d056d15b963f',1326,33,127,-66,,,,,,,,,
1753823918,192.168.0.219:5084,1,b'303435fc8803d056d15b963f',3396,33,39,-54,,,,,,,,,
1753823918,192.168.0.219:5084,2,b'303435fc8803d056d15b963f',3228,33,-722,-63,,,,,,,,,
1753823918,192.168.0.219:5084,3,b'303435fc8803d056d15b963f',3024,33,767,-58,,,,,,,,,
1753823918,192.168.0.219:5084,1,b'303435fc8803d056d15b963f',1516,34,-78,-59,,,,,,,,,
1753823918,192.168.0.219:5084,2,b'303435fc8803d056d15b963f',1072,34,527,-60,,,,,,,,,
1753823918,192.168.0.219:5084,3,b'303435fc8803d056d15b963f',2968,34,-117,-61,,,,,,,,,
1753823918,192.168.0.219:5084,1,b'303435fc8803d056d15b963f',1548,34,-195,-60,,,,,,,,,
1753823918,192.168.0.219:5084,2,b'303435fc8803d056d15b963f',1700,34,511,-59,,,,,,,,,
1753823918,192.168.0.219:5084,3,b'303435fc8803d056d15b963f',3136,35,511,-66,,,,,,,,,
1753823918,192.168.0.219:5084,1,b'303435fc8803d056d15b963f',2964,35,78,-57,,,,,,,,,
1753823918,192.168.0.219:5084,2,b'303435fc8803d056d15b963f',3680,35,-605,-64,,,,,,,,,
1753823918,192.168.0.219:5084,3,b'303435fc8803d056d15b963f',2988,35,1,-74,,,,,,,,,
1753823918,192.168.0.219:5084,4,b'303435fc8803d056d15b963f',3308,35,-156,-61,,,,,,,,,
1753823918,192.168.0.219:5084,1,b'303435fc8803d056d15b963f',100,35,-117,-56,,,,,,,,,
1753823918,192.168.0.219:5084,2,b'303435fc8803d056d15b963f',3304,36,0,-58,,,,,,,,,
1753823918,192.168.0.219:5084,4,b'303435fc8803d056d15b963f',3252,36,-156,-58,,,,,,,,,
1753823918,192.168.0.219:5084,1,b'303435fc8803d056d15b963f',3628,36,-156,-56,,,,,,,,,
1753823918,192.168.0.219:5084,2,b'303435fc8803d056d15b963f',3816,36,0,-56,,,,,,,,,
1753823918,192.168.0.219:5084,4,b'303435fc8803d056d15b963f',2468,37,-39,-60,,,,,,,,,
1753823918,192.168.0.219:5084,1,b'303435fc8803d056d15b963f',3636,37,-39,-59,,,,,,,,,
