Power (dBm),Distance (in),Avg RSSI (dBm)
10.0,6,-49.09775769402068
10.25,6,-48.87670030699591
10.5,6,-48.665286452763354
10.75,6,-48.463181018785654
11.0,6,-48.270048892525416
11.25,6,-48.08555496144532
11.5,6,-47.90936411300794
11.75,6,-47.74114123467593
12.0,6,-47.5805512139119
12.25,6,-47.4272589381785
12.5,6,-47.28092929493835
12.75,6,-47.14122717165407
13.0,6,-47.00781745578831
13.25,6,-46.880365034803674
13.5,6,-46.7585347961628
13.75,6,-46.64199162732832
14.0,6,-46.53040041576288
14.25,6,-46.42342604892906
14.5,6,-46.320733414289535
14.75,6,-46.2219873993069
15.0,6,-46.126852891443804
15.25,6,-46.03499477816287
15.5,6,-45.94607794692672
15.75,6,-45.85976728519801
16.0,6,-45.77572768043933
16.25,6,-45.693624020113326
16.5,6,-45.61312119168263
16.75,6,-45.533884082609866
17.0,6,-45.45557758035766
17.25,6,-45.37786657238864
17.5,6,-45.30041594616545
17.75,6,-45.2228905891507
18.0,6,-45.14495538880702
18.25,6,-45.06627523259705
18.5,6,-44.986515007983414
18.75,6,-44.905339602428725
19.0,6,-44.82241390339563
19.25,6,-44.73740279834675
19.5,6,-44.64997117474472
19.75,6,-44.55978392005216
20.0,6,-44.4665059217317
20.25,6,-44.36980206724598
20.5,6,-44.2693372440576
20.75,6,-44.16477633962922
21.0,6,-44.05578424142347
21.25,6,-43.94202583690293
21.5,6,-43.823166013530304
21.75,6,-43.698869658768146
22.0,6,-43.56880166007914
22.25,6,-43.43262690492587
22.5,6,-43.29001028077097
22.75,6,-43.14061667507711
23.0,6,-42.984110975306876
23.25,6,-42.820158068922936
23.5,6,-42.648422843387905
23.75,6,-42.468570186164385
24.0,6,-42.280264984715004
24.25,6,-42.083172126502404
24.5,6,-41.876956498989244
24.75,6,-41.661282989638124
25.0,6,-41.43581648591166
25.25,6,-41.20022187527253
25.5,6,-40.95416404518326
25.75,6,-40.69730788310659
26.0,6,-40.429318276505086
26.25,6,-40.149860112841424
26.5,6,-39.85859827957816
26.75,6,-39.55519766417794
27.0,6,-39.239323154103516
27.25,6,-38.91063963681742
27.5,6,-38.56881199978221
27.75,6,-38.213505130460504
28.0,6,-37.84438391631514
28.25,6,-37.461113244808615
28.5,6,-37.06335800340349
28.75,6,-36.65078307956253
29.0,6,-36.223053360748224
29.25,6,-35.77983373442328
29.5,6,-35.32078908805045
29.75,6,-34.84558430909209
30.0,6,-34.35388428501102
30.25,6,-33.84535390326977
30.5,6,-33.319658051330975
30.75,6,-32.7764616166574
31.0,6,-32.21542948671146
31.25,6,-31.636226548956074
31.5,6,-31.038517690853723
31.75,6,-30.421967799866536
32.0,6,-29.786241763458065
32.25,6,-29.131004469090612
32.5,6,-28.455920804226423
