# Quadrant and Per-File Results
# This file contains quadrant accuracies and per-file accuracies for dynamic and static data.
# - Quadrant: Q1 (x<7.5, y>=7.5), Q2 (x>=7.5, y>=7.5), Q3 (x<7.5, y<7.5), Q4 (x>=7.5, y<7.5).
# - Accuracy: Prediction accuracy for each quadrant or file (0 to 1).
# - Dataset: 'circle_dynamic' (CircleTests), 'line_dynamic' (MoveTest2), or 'static' (Test8).
# - Filename: Name of the data file (e.g., CircleTest1-1.csv, MoveTest2-1.csv, (12,3).csv) or 'All' for dataset-level.
Quadrant,Accuracy,Dataset,Filename,Total Accuracy,Q1 Accuracy,Q2 Accuracy,Q3 Accuracy,Q4 Accuracy
Q1,0.8774647887323944,,,,,,,
Q2,0.8365685660613651,,,,,,,
Q3,0.8551136363636364,,,,,,,
Q4,0.8690476190476191,,,,,,,
,,circle_dynamic,All,0.37248028045574055,0.3181818181818182,0.38235294117647056,0.43729903536977494,0.3403361344537815
,,circle_dynamic,circletest1-1,0.52,0.26666666666666666,0.4666666666666667,0.6666666666666666,0.8181818181818182
,,circle_dynamic,circletest1-2,0.3492063492063492,0.18181818181818182,0.35,0.43478260869565216,0.3333333333333333
,,circle_dynamic,circletest1-3,0.4666666666666667,0.16666666666666666,0.5,0.6666666666666666,0.4444444444444444
,,circle_dynamic,circletest1-4,0.44,0.45454545454545453,0.45,0.6666666666666666,0.2
,,circle_dynamic,circletest1-5,0.4090909090909091,0.3333333333333333,0.6,0.375,0.3333333333333333
,,circle_dynamic,circletest1-6,0.27586206896551724,0.2857142857142857,0.2727272727272727,0.0,0.6
,,circle_dynamic,circletest1-7,0.2857142857142857,0.0,0.4,0.5,0.2
,,circle_dynamic,circletest1-8,0.27586206896551724,0.14285714285714285,0.6,0.4,0.0
,,circle_dynamic,circletest1-9,0.30357142857142855,0.3333333333333333,0.42105263157894735,0.14285714285714285,0.2727272727272727
,,circle_dynamic,circletest1-10,0.325,0.0,0.38461538461538464,0.25,0.46153846153846156
,,circle_dynamic,circletest1-11,0.3283582089552239,0.2857142857142857,0.5555555555555556,0.23076923076923078,0.2
,,circle_dynamic,circletest1-12,0.2753623188405797,0.09090909090909091,0.2,0.5454545454545454,0.14285714285714285
,,circle_dynamic,circletest1-13,0.4883720930232558,0.36363636363636365,0.47058823529411764,0.7777777777777778,0.3333333333333333
,,circle_dynamic,circletest1-14,0.23333333333333334,0.5,0.16666666666666666,0.14285714285714285,0.1111111111111111
,,circle_dynamic,circletest1-15,0.2608695652173913,0.2857142857142857,0.1111111111111111,0.0,0.6
,,circle_dynamic,circletest1-16,0.42857142857142855,0.4,0.6666666666666666,0.2,0.5
,,circle_dynamic,circletest2-1,0.375,0.3333333333333333,0.2727272727272727,0.5,0.3333333333333333
,,circle_dynamic,circletest2-2,0.3157894736842105,0.5,0.0,0.42857142857142855,0.0
,,circle_dynamic,circletest2-3,0.4,0.2857142857142857,0.5,0.4,0.375
,,circle_dynamic,circletest2-4,0.2,0.125,0.0,0.375,0.0
,,circle_dynamic,circletest3-1,0.37142857142857144,0.3076923076923077,0.2222222222222222,0.6666666666666666,0.42857142857142855
,,circle_dynamic,circletest3-2,0.38095238095238093,0.2857142857142857,0.0,0.4444444444444444,0.5
,,circle_dynamic,circletest3-3,0.2702702702702703,0.26666666666666666,0.25,0.5,0.16666666666666666
,,circle_dynamic,circletest3-4,0.42857142857142855,0.3333333333333333,0.0,0.6,0.2857142857142857
,,circle_dynamic,circletest4-1,0.3448275862068966,0.0,0.3,0.5,0.4
,,circle_dynamic,circletest4-2,0.4782608695652174,0.0,0.625,0.5,0.42857142857142855
,,circle_dynamic,circletest4-3,0.47058823529411764,0.5555555555555556,0.2727272727272727,0.7142857142857143,0.42857142857142855
,,circle_dynamic,circletest4-4,0.35,0.4,,0.2222222222222222,0.5
,,circle_dynamic,circletest5-1,0.4807692307692308,0.4444444444444444,0.5454545454545454,0.5,0.4444444444444444
,,circle_dynamic,circletest5-2,0.5,0.6666666666666666,0.375,0.5714285714285714,0.3333333333333333
,,circle_dynamic,circletest5-3,0.3137254901960784,0.46153846153846156,0.25,0.23529411764705882,0.3333333333333333
,,circle_dynamic,circletest5-4,0.5714285714285714,1.0,0.5454545454545454,0.3333333333333333,1.0
,,line_dynamic,All,0.9493136219640972,0.9555555555555556,0.9547325102880658,0.95,0.9358974358974359
,,line_dynamic,movetest2-1,0.9655172413793104,1.0,,,0.9411764705882353
,,line_dynamic,movetest2-2,0.9107142857142857,0.9259259259259259,,,0.896551724137931
,,line_dynamic,movetest2-3,0.9090909090909091,0.9090909090909091,,,0.9090909090909091
,,line_dynamic,movetest2-4,1.0,1.0,,,1.0
,,line_dynamic,movetest2-5,0.9444444444444444,1.0,,,0.9
,,line_dynamic,movetest2-6,0.9259259259259259,0.9565217391304348,,,0.9032258064516129
,,line_dynamic,movetest2-7,0.8636363636363636,0.7272727272727273,,,1.0
,,line_dynamic,movetest2-8,0.9523809523809523,1.0,,,0.8947368421052632
