timestamp,reader,antenna,rssi,epc,phase_angle,channel_index,doppler_frequency
1754435804.418306,192.168.0.219:5084,1,-65,b'303435fc8803d056d15b963f',716,33,1210
1754435804.340616,192.168.0.219:5084,2,-69,b'303435fc8803d056d15b963f',3420,33,30
1754435804.391849,192.168.0.219:5084,4,-66,b'303435fc8803d056d15b963f',912,33,4223
1754435804.576964,192.168.0.219:5084,1,-63,b'303435fc8803d056d15b963f',2548,33,332
1754435804.495053,192.168.0.219:5084,2,-66,b'303435fc8803d056d15b963f',1144,34,-3
1754435804.563501,192.168.0.219:5084,4,-70,b'303435fc8803d056d15b963f',4,34,36
1754435804.835877,192.168.0.219:5084,1,-63,b'303435fc8803d056d15b963f',1464,34,2226
1754435804.751376,192.168.0.219:5084,2,-60,b'303435fc8803d056d15b963f',3378,35,6974
1754435804.850362,192.168.0.219:5084,1,-63,b'303435fc8803d056d15b963f',1708,35,-1523
1754435804.899173,192.168.0.219:5084,2,-61,b'303435fc8803d056d15b963f',3052,35,-2111
1754435804.9779,192.168.0.219:5084,4,-72,b'303435fc8803d056d15b963f',2900,36,35
1754435805.133384,192.168.0.219:5084,1,-63,b'303435fc8803d056d15b963f',4092,36,-878
1754435805.035718,192.168.0.219:5084,2,-61,b'303435fc8803d056d15b963f',1006,36,-3071
1754435805.10748,192.168.0.219:5084,4,-68,b'303435fc8803d056d15b963f',1432,37,-639
1754435805.303346,192.168.0.219:5084,1,-64,b'303435fc8803d056d15b963f',4092,37,-20
1754435805.246782,192.168.0.219:5084,4,-68,b'303435fc8803d056d15b963f',3484,37,191
1754435805.449861,192.168.0.219:5084,1,-63,b'303435fc8803d056d15b963f',1964,38,-488
1754435805.491454,192.168.0.219:5084,2,-61,b'303435fc8803d056d15b963f',2968,38,-575
1754435805.635823,192.168.0.219:5084,1,-65,b'303435fc8803d056d15b963f',260,39,273
1754435805.541073,192.168.0.219:5084,2,-62,b'303435fc8803d056d15b963f',2988,39,2239
1754435805.61126,192.168.0.219:5084,4,-67,b'303435fc8803d056d15b963f',104,39,3967
1754435805.649625,192.168.0.219:5084,1,-65,b'303435fc8803d056d15b963f',140,39,1093
1754435805.717768,192.168.0.219:5084,2,-62,b'303435fc8803d056d15b963f',3576,39,8
1754435805.765923,192.168.0.219:5084,4,-62,b'303435fc8803d056d15b963f',1488,40,-3519
1754435805.780256,192.168.0.219:5084,1,-66,b'303435fc8803d056d15b963f',1104,40,195
1754435805.836892,192.168.0.219:5084,2,-71,b'303435fc8803d056d15b963f',3716,40,-42
1754435805.902797,192.168.0.219:5084,4,-67,b'303435fc8803d056d15b963f',1060,40,-767
1754435806.054638,192.168.0.219:5084,1,-65,b'303435fc8803d056d15b963f',3504,41,1523
1754435805.959119,192.168.0.219:5084,2,-62,b'303435fc8803d056d15b963f',1556,41,-2175
1754435806.031495,192.168.0.219:5084,4,-68,b'303435fc8803d056d15b963f',948,41,1279
1754435806.194062,192.168.0.219:5084,1,-65,b'303435fc8803d056d15b963f',1200,41,1015
1754435806.284134,192.168.0.219:5084,4,-62,b'303435fc8803d056d15b963f',3670,42,-3135
1754435806.310507,192.168.0.219:5084,1,-61,b'303435fc8803d056d15b963f',228,42,1151
1754435806.340357,192.168.0.219:5084,2,-62,b'303435fc8803d056d15b963f',270,43,447
1754435806.42149,192.168.0.219:5084,4,-70,b'303435fc8803d056d15b963f',3992,43,25
1754435806.451223,192.168.0.219:5084,1,-65,b'303435fc8803d056d15b963f',256,43,-722
1754435806.521265,192.168.0.219:5084,2,-61,b'303435fc8803d056d15b963f',532,43,-1
1754435806.568027,192.168.0.219:5084,4,-61,b'303435fc8803d056d15b963f',3438,44,0
1754435806.716136,192.168.0.219:5084,1,-65,b'303435fc8803d056d15b963f',388,44,1523
1754435806.620554,192.168.0.219:5084,2,-68,b'303435fc8803d056d15b963f',2668,44,-959
1754435806.680534,192.168.0.219:5084,4,-62,b'303435fc8803d056d15b963f',3332,44,3967
1754435806.857621,192.168.0.219:5084,1,-63,b'303435fc8803d056d15b963f',408,45,2382
1754435806.762991,192.168.0.219:5084,2,-61,b'303435fc8803d056d15b963f',540,45,-1855
1754435806.833447,192.168.0.219:5084,4,-69,b'303435fc8803d056d15b963f',180,45,127
1754435807.02417,192.168.0.219:5084,1,-62,b'303435fc8803d056d15b963f',2756,45,-937
1754435807.056268,192.168.0.219:5084,2,-60,b'303435fc8803d056d15b963f',1270,46,1087
1754435807.010876,192.168.0.219:5084,4,-71,b'303435fc8803d056d15b963f',192,46,-13
1754435807.214889,192.168.0.219:5084,1,-63,b'303435fc8803d056d15b963f',1016,46,0
1754435807.140178,192.168.0.219:5084,2,-60,b'303435fc8803d056d15b963f',3456,46,13
1754435807.36327,192.168.0.219:5084,1,-63,b'303435fc8803d056d15b963f',3064,47,-1015
1754435807.396722,192.168.0.219:5084,2,-60,b'303435fc8803d056d15b963f',628,47,2175
1754435807.547761,192.168.0.219:5084,1,-63,b'303435fc8803d056d15b963f',3844,48,-449
1754435807.443646,192.168.0.219:5084,2,-60,b'303435fc8803d056d15b963f',712,48,63
1754435807.535203,192.168.0.219:5084,4,-70,b'303435fc8803d056d15b963f',3584,49,8
1754435807.688963,192.168.0.219:5084,1,-64,b'303435fc8803d056d15b963f',3576,49,2617
1754435807.59352,192.168.0.219:5084,2,-61,b'303435fc8803d056d15b963f',2644,49,-2367
1754435807.675795,192.168.0.219:5084,4,-70,b'303435fc8803d056d15b963f',3636,49,-40
1754435807.736973,192.168.0.219:5084,1,-64,b'303435fc8803d056d15b963f',1064,49,-28
1754435807.763466,192.168.0.219:5084,2,-67,b'303435fc8803d056d15b963f',1228,50,0
