timestamp,reader,antenna,rssi,epc,phase_angle,channel_index,doppler_frequency
1753916683.543576,192.168.0.219:5084,1,-71,b'303435fc8803d056d15b963f',176,14,-1663
1753916683.714921,192.168.0.219:5084,3,-63,b'303435fc8803d056d15b963f',440,14,-575
1753916683.625751,192.168.0.219:5084,4,-57,b'303435fc8803d056d15b963f',2332,14,332
1753916683.909045,192.168.0.219:5084,3,-66,b'303435fc8803d056d15b963f',3748,15,2089
1753916683.944471,192.168.0.219:5084,4,-57,b'303435fc8803d056d15b963f',568,15,273
1753916684.111595,192.168.0.219:5084,2,-64,b'303435fc8803d056d15b963f',1126,16,3711
1753916684.177061,192.168.0.219:5084,4,-56,b'303435fc8803d056d15b963f',400,16,566
1753916684.357381,192.168.0.219:5084,2,-67,b'303435fc8803d056d15b963f',52,17,319
1753916684.278553,192.168.0.219:5084,4,-57,b'303435fc8803d056d15b963f',460,17,156
1753916684.528965,192.168.0.219:5084,1,-72,b'303435fc8803d056d15b963f',3912,18,10
1753916684.415587,192.168.0.219:5084,2,-64,b'303435fc8803d056d15b963f',122,18,-1791
1753916684.474581,192.168.0.219:5084,4,-58,b'303435fc8803d056d15b963f',3968,18,-117
1753916684.736153,192.168.0.219:5084,2,-73,b'303435fc8803d056d15b963f',2944,19,31
1753916684.624708,192.168.0.219:5084,3,-66,b'303435fc8803d056d15b963f',3322,19,-2111
1753916684.65353,192.168.0.219:5084,4,-57,b'303435fc8803d056d15b963f',1668,19,937
1753916684.904905,192.168.0.219:5084,1,-66,b'303435fc8803d056d15b963f',3628,20,831
1753916684.810021,192.168.0.219:5084,2,-69,b'303435fc8803d056d15b963f',3684,20,2495
1753916684.863793,192.168.0.219:5084,4,-57,b'303435fc8803d056d15b963f',3652,20,117
1753916684.926163,192.168.0.219:5084,1,-66,b'303435fc8803d056d15b963f',3740,20,-3647
1753916685.080539,192.168.0.219:5084,2,-66,b'303435fc8803d056d15b963f',2804,21,-1621
1753916685.020636,192.168.0.219:5084,4,-57,b'303435fc8803d056d15b963f',120,21,449
1753916685.223975,192.168.0.219:5084,1,-67,b'303435fc8803d056d15b963f',2864,22,-2187
1753916685.280744,192.168.0.219:5084,2,-66,b'303435fc8803d056d15b963f',1780,21,7
1753916685.192979,192.168.0.219:5084,4,-58,b'303435fc8803d056d15b963f',1620,22,156
1753916685.446667,192.168.0.219:5084,1,-67,b'303435fc8803d056d15b963f',400,22,2500
1753916685.357707,192.168.0.219:5084,2,-71,b'303435fc8803d056d15b963f',1652,22,18
1753916685.416729,192.168.0.219:5084,4,-58,b'303435fc8803d056d15b963f',2816,23,332
1753916685.460726,192.168.0.219:5084,1,-67,b'303435fc8803d056d15b963f',420,23,2011
1753916685.63251,192.168.0.219:5084,2,-65,b'303435fc8803d056d15b963f',3938,24,-127
1753916685.577959,192.168.0.219:5084,4,-57,b'303435fc8803d056d15b963f',1052,23,2
1753916685.772089,192.168.0.219:5084,1,-66,b'303435fc8803d056d15b963f',3448,25,3027
1753916685.676992,192.168.0.219:5084,2,-66,b'303435fc8803d056d15b963f',3940,24,127
1753916685.860717,192.168.0.219:5084,4,-57,b'303435fc8803d056d15b963f',2316,24,-195
1753916685.874822,192.168.0.219:5084,1,-66,b'303435fc8803d056d15b963f',3720,25,1210
1753916686.047928,192.168.0.219:5084,2,-68,b'303435fc8803d056d15b963f',832,26,511
1753916685.980345,192.168.0.219:5084,4,-57,b'303435fc8803d056d15b963f',2924,25,319
1753916686.210317,192.168.0.219:5084,1,-66,b'303435fc8803d056d15b963f',208,27,1445
1753916686.10519,192.168.0.219:5084,2,-68,b'303435fc8803d056d15b963f',908,26,-639
1753916686.187374,192.168.0.219:5084,4,-58,b'303435fc8803d056d15b963f',652,26,7
1753916686.34215,192.168.0.219:5084,1,-66,b'303435fc8803d056d15b963f',3996,27,3671
1753916686.437042,192.168.0.219:5084,4,-58,b'303435fc8803d056d15b963f',2368,27,488
1753916686.586587,192.168.0.219:5084,1,-66,b'303435fc8803d056d15b963f',1216,28,-191
1753916686.540044,192.168.0.219:5084,4,-57,b'303435fc8803d056d15b963f',2452,28,-195
1753916686.722385,192.168.0.219:5084,1,-67,b'303435fc8803d056d15b963f',3316,29,1250
1753916686.776129,192.168.0.219:5084,2,-73,b'303435fc8803d056d15b963f',76,29,9
1753916686.692058,192.168.0.219:5084,4,-57,b'303435fc8803d056d15b963f',2008,29,-1093
1753916686.924357,192.168.0.219:5084,1,-65,b'303435fc8803d056d15b963f',3522,30,-1471
1753916686.834123,192.168.0.219:5084,2,-65,b'303435fc8803d056d15b963f',3500,30,-767
1753916686.892035,192.168.0.219:5084,4,-57,b'303435fc8803d056d15b963f',3528,30,332
1753916686.942671,192.168.0.219:5084,1,-65,b'303435fc8803d056d15b963f',3494,30,1343
1753916686.992,192.168.0.219:5084,2,-66,b'303435fc8803d056d15b963f',2636,30,-5119
1753916687.04843,192.168.0.219:5084,4,-57,b'303435fc8803d056d15b963f',1472,31,-39
1753916687.191757,192.168.0.219:5084,1,-66,b'303435fc8803d056d15b963f',3112,32,-78
1753916687.242678,192.168.0.219:5084,2,-70,b'303435fc8803d056d15b963f',2116,31,-65
1753916687.15553,192.168.0.219:5084,4,-58,b'303435fc8803d056d15b963f',1412,31,937
1753916687.273042,192.168.0.219:5084,1,-66,b'303435fc8803d056d15b963f',3120,32,-1894
1753916687.32943,192.168.0.219:5084,2,-71,b'303435fc8803d056d15b963f',3968,32,-25
1753916687.405426,192.168.0.219:5084,4,-57,b'303435fc8803d056d15b963f',3000,32,-2
1753916687.559805,192.168.0.219:5084,1,-67,b'303435fc8803d056d15b963f',452,33,2539
1753916687.486642,192.168.0.219:5084,2,-73,b'303435fc8803d056d15b963f',2840,33,23
1753916687.529707,192.168.0.219:5084,4,-58,b'303435fc8803d056d15b963f',3016,33,-234
1753916687.609685,192.168.0.219:5084,1,-68,b'303435fc8803d056d15b963f',3960,33,31
1753916687.634843,192.168.0.219:5084,2,-68,b'303435fc8803d056d15b963f',980,34,-1663
1753916687.69112,192.168.0.219:5084,4,-59,b'303435fc8803d056d15b963f',1000,34,117
1753916687.726879,192.168.0.219:5084,1,-71,b'303435fc8803d056d15b963f',4068,34,90
1753916687.756965,192.168.0.219:5084,2,-68,b'303435fc8803d056d15b963f',984,34,3775
1753916687.810669,192.168.0.219:5084,3,-67,b'303435fc8803d056d15b963f',1548,35,-23
1753916687.833488,192.168.0.219:5084,4,-58,b'303435fc8803d056d15b963f',2948,35,-449
1753916688.027416,192.168.0.219:5084,3,-67,b'303435fc8803d056d15b963f',2724,35,566
1753916688.05653,192.168.0.219:5084,4,-58,b'303435fc8803d056d15b963f',2524,35,-332
1753916688.244858,192.168.0.219:5084,2,-72,b'303435fc8803d056d15b963f',2804,37,-18
1753916688.289774,192.168.0.219:5084,3,-68,b'303435fc8803d056d15b963f',2812,36,42
1753916688.156983,192.168.0.219:5084,4,-58,b'303435fc8803d056d15b963f',2520,36,-78
1753916688.369254,192.168.0.219:5084,2,-72,b'303435fc8803d056d15b963f',2840,37,1
1753916688.528264,192.168.0.219:5084,3,-62,b'303435fc8803d056d15b963f',4076,38,273
1753916688.441066,192.168.0.219:5084,4,-58,b'303435fc8803d056d15b963f',3212,38,-449
1753916688.66691,192.168.0.219:5084,1,-66,b'303435fc8803d056d15b963f',3920,39,2011
1753916688.597935,192.168.0.219:5084,3,-65,b'303435fc8803d056d15b963f',4068,38,332
1753916688.754907,192.168.0.219:5084,4,-57,b'303435fc8803d056d15b963f',2684,39,-1054
1753916688.91129,192.168.0.219:5084,1,-66,b'303435fc8803d056d15b963f',984,39,1328
1753916688.831777,192.168.0.219:5084,2,-72,b'303435fc8803d056d15b963f',3176,40,23
1753916688.881086,192.168.0.219:5084,4,-57,b'303435fc8803d056d15b963f',3304,40,39
1753916688.928038,192.168.0.219:5084,1,-64,b'303435fc8803d056d15b963f',3084,40,319
1753916689.098012,192.168.0.219:5084,2,-66,b'303435fc8803d056d15b963f',230,40,4223
1753916689.03593,192.168.0.219:5084,4,-56,b'303435fc8803d056d15b963f',1292,41,156
1753916689.250474,192.168.0.219:5084,1,-69,b'303435fc8803d056d15b963f',1016,42,1289
1753916689.143436,192.168.0.219:5084,2,-66,b'303435fc8803d056d15b963f',282,41,-1471
1753916689.237321,192.168.0.219:5084,4,-57,b'303435fc8803d056d15b963f',3404,41,7
1753916689.39693,192.168.0.219:5084,1,-67,b'303435fc8803d056d15b963f',1192,42,371
1753916689.316721,192.168.0.219:5084,2,-71,b'303435fc8803d056d15b963f',3416,42,13
1753916689.366195,192.168.0.219:5084,4,-57,b'303435fc8803d056d15b963f',3424,42,-156
1753916689.412614,192.168.0.219:5084,1,-64,b'303435fc8803d056d15b963f',3306,42,767
1753916689.475752,192.168.0.219:5084,2,-74,b'303435fc8803d056d15b963f',3212,43,-30
1753916689.491316,192.168.0.219:5084,3,-66,b'303435fc8803d056d15b963f',3586,43,831
1753916689.520453,192.168.0.219:5084,4,-57,b'303435fc8803d056d15b963f',1908,43,156
1753916689.694569,192.168.0.219:5084,2,-64,b'303435fc8803d056d15b963f',818,44,639
1753916689.598469,192.168.0.219:5084,3,-66,b'303435fc8803d056d15b963f',3592,43,2175
1753916689.754318,192.168.0.219:5084,4,-57,b'303435fc8803d056d15b963f',348,44,-449
1753916689.797761,192.168.0.219:5084,2,-66,b'303435fc8803d056d15b963f',2748,44,-332
1753916689.957032,192.168.0.219:5084,3,-64,b'303435fc8803d056d15b963f',2180,45,-3554
1753916689.867814,192.168.0.219:5084,4,-57,b'303435fc8803d056d15b963f',2076,45,-156
1753916690.099987,192.168.0.219:5084,1,-65,b'303435fc8803d056d15b963f',208,46,-3775
1753916690.148412,192.168.0.219:5084,2,-71,b'303435fc8803d056d15b963f',1352,46,-52
1753916690.028238,192.168.0.219:5084,3,-68,b'303435fc8803d056d15b963f',1748,45,1289
1753916690.067744,192.168.0.219:5084,4,-58,b'303435fc8803d056d15b963f',1176,46,-332
1753916690.184675,192.168.0.219:5084,1,-65,b'303435fc8803d056d15b963f',74,46,575
1753916690.257346,192.168.0.219:5084,2,-68,b'303435fc8803d056d15b963f',3064,46,50
1753916690.300245,192.168.0.219:5084,4,-58,b'303435fc8803d056d15b963f',3172,47,-527
1753916690.314597,192.168.0.219:5084,1,-68,b'303435fc8803d056d15b963f',860,47,605
1753916690.367804,192.168.0.219:5084,2,-72,b'303435fc8803d056d15b963f',2976,47,70
1753916690.508439,192.168.0.219:5084,3,-65,b'303435fc8803d056d15b963f',1108,48,683
1753916690.41326,192.168.0.219:5084,4,-57,b'303435fc8803d056d15b963f',3136,47,0
1753916690.658785,192.168.0.219:5084,1,-66,b'303435fc8803d056d15b963f',1440,49,-447
1753916690.580862,192.168.0.219:5084,3,-64,b'303435fc8803d056d15b963f',1156,48,-39
1753916690.743655,192.168.0.219:5084,4,-57,b'303435fc8803d056d15b963f',2096,48,332
1753916690.757575,192.168.0.219:5084,1,-67,b'303435fc8803d056d15b963f',3484,49,937
1753916690.916671,192.168.0.219:5084,2,-65,b'303435fc8803d056d15b963f',3714,50,1279
1753916690.856035,192.168.0.219:5084,4,-53,b'303435fc8803d056d15b963f',2958,49,447
1753916691.089561,192.168.0.219:5084,2,-65,b'303435fc8803d056d15b963f',46,50,-383
1753916691.147258,192.168.0.219:5084,4,-57,b'303435fc8803d056d15b963f',1196,50,156
1753916691.192592,192.168.0.219:5084,2,-66,b'303435fc8803d056d15b963f',16,1,4415
1753916691.349404,192.168.0.219:5084,3,-65,b'303435fc8803d056d15b963f',496,2,195
1753916691.267649,192.168.0.219:5084,4,-57,b'303435fc8803d056d15b963f',3460,1,-511
1753916691.548736,192.168.0.219:5084,3,-65,b'303435fc8803d056d15b963f',3264,2,644
1753916691.469107,192.168.0.219:5084,4,-57,b'303435fc8803d056d15b963f',2788,2,-127
1753916691.702307,192.168.0.219:5084,1,-64,b'303435fc8803d056d15b963f',588,4,1471
1753916691.618403,192.168.0.219:5084,3,-67,b'303435fc8803d056d15b963f',3312,3,566
1753916691.677828,192.168.0.219:5084,4,-57,b'303435fc8803d056d15b963f',3536,3,-1
1753916691.856641,192.168.0.219:5084,1,-64,b'303435fc8803d056d15b963f',520,4,2367
1753916691.772703,192.168.0.219:5084,2,-71,b'303435fc8803d056d15b963f',1536,4,19
1753916691.822146,192.168.0.219:5084,4,-58,b'303435fc8803d056d15b963f',1516,4,-410
1753916692.043471,192.168.0.219:5084,3,-66,b'303435fc8803d056d15b963f',724,5,195
1753916692.081104,192.168.0.219:5084,4,-58,b'303435fc8803d056d15b963f',3684,5,683
