timestamp,reader,antenna,rssi,epc,phase_angle,channel_index,doppler_frequency
1753916621.786707,192.168.0.219:5084,1,-69,b'303435fc8803d056d15b963f',336,21,1919
1753916621.938246,192.168.0.219:5084,2,-64,b'303435fc8803d056d15b963f',534,21,-2879
1753916621.875999,192.168.0.219:5084,4,-57,b'303435fc8803d056d15b963f',132,21,488
1753916622.104864,192.168.0.219:5084,1,-63,b'303435fc8803d056d15b963f',764,22,767
1753916622.028688,192.168.0.219:5084,2,-71,b'303435fc8803d056d15b963f',3636,22,23
1753916622.07193,192.168.0.219:5084,4,-58,b'303435fc8803d056d15b963f',1568,22,800
1753916622.257928,192.168.0.219:5084,1,-64,b'303435fc8803d056d15b963f',428,22,937
1753916622.176148,192.168.0.219:5084,2,-71,b'303435fc8803d056d15b963f',1720,22,19
1753916622.228236,192.168.0.219:5084,4,-58,b'303435fc8803d056d15b963f',2872,23,-117
1753916622.27249,192.168.0.219:5084,1,-67,b'303435fc8803d056d15b963f',120,23,3867
1753916622.441573,192.168.0.219:5084,2,-65,b'303435fc8803d056d15b963f',3894,24,3071
1753916622.398322,192.168.0.219:5084,4,-57,b'303435fc8803d056d15b963f',3128,23,-2
1753916622.595944,192.168.0.219:5084,1,-66,b'303435fc8803d056d15b963f',1608,25,-1471
1753916622.48789,192.168.0.219:5084,2,-66,b'303435fc8803d056d15b963f',3892,24,-319
1753916622.677703,192.168.0.219:5084,4,-57,b'303435fc8803d056d15b963f',2348,24,-371
1753916622.691979,192.168.0.219:5084,1,-68,b'303435fc8803d056d15b963f',3612,25,1367
1753916622.873614,192.168.0.219:5084,2,-70,b'303435fc8803d056d15b963f',768,26,36
1753916622.79949,192.168.0.219:5084,4,-57,b'303435fc8803d056d15b963f',872,25,191
1753916623.045993,192.168.0.219:5084,1,-66,b'303435fc8803d056d15b963f',48,27,1406
1753916622.953951,192.168.0.219:5084,2,-70,b'303435fc8803d056d15b963f',996,26,-9
1753916623.134358,192.168.0.219:5084,4,-57,b'303435fc8803d056d15b963f',2792,27,-976
1753916623.276669,192.168.0.219:5084,1,-66,b'303435fc8803d056d15b963f',3732,27,2734
1753916623.365863,192.168.0.219:5084,4,-57,b'303435fc8803d056d15b963f',2484,28,-527
1753916623.416256,192.168.0.219:5084,1,-67,b'303435fc8803d056d15b963f',1096,28,-3
1753916623.456688,192.168.0.219:5084,2,-72,b'303435fc8803d056d15b963f',64,29,-19
1753916623.499854,192.168.0.219:5084,4,-57,b'303435fc8803d056d15b963f',1940,29,195
1753916623.658786,192.168.0.219:5084,1,-65,b'303435fc8803d056d15b963f',3400,29,4351
1753916623.570307,192.168.0.219:5084,2,-72,b'303435fc8803d056d15b963f',4092,29,-28
1753916623.623798,192.168.0.219:5084,4,-58,b'303435fc8803d056d15b963f',3584,30,-273
1753916623.675302,192.168.0.219:5084,1,-65,b'303435fc8803d056d15b963f',3526,30,-1023
1753916623.851462,192.168.0.219:5084,2,-69,b'303435fc8803d056d15b963f',2520,30,5375
1753916623.77413,192.168.0.219:5084,4,-57,b'303435fc8803d056d15b963f',3588,30,-234
1753916624.030829,192.168.0.219:5084,1,-68,b'303435fc8803d056d15b963f',1092,32,-50
1753916624.070054,192.168.0.219:5084,2,-70,b'303435fc8803d056d15b963f',3860,31,-18
1753916623.964321,192.168.0.219:5084,4,-57,b'303435fc8803d056d15b963f',1496,31,-156
1753916624.095931,192.168.0.219:5084,1,-68,b'303435fc8803d056d15b963f',2988,32,1484
1753916624.143152,192.168.0.219:5084,2,-71,b'303435fc8803d056d15b963f',3976,32,-54
1753916624.233619,192.168.0.219:5084,4,-57,b'303435fc8803d056d15b963f',3020,32,0
1753916624.388702,192.168.0.219:5084,1,-66,b'303435fc8803d056d15b963f',412,33,2421
1753916624.315991,192.168.0.219:5084,2,-72,b'303435fc8803d056d15b963f',2840,33,-25
1753916624.358904,192.168.0.219:5084,4,-58,b'303435fc8803d056d15b963f',3052,33,-78
1753916624.429704,192.168.0.219:5084,1,-66,b'303435fc8803d056d15b963f',3956,33,98
1753916624.479273,192.168.0.219:5084,2,-70,b'303435fc8803d056d15b963f',1096,34,2
1753916624.524067,192.168.0.219:5084,4,-58,b'303435fc8803d056d15b963f',992,34,117
1753916624.563597,192.168.0.219:5084,1,-71,b'303435fc8803d056d15b963f',4008,34,74
1753916624.599554,192.168.0.219:5084,2,-70,b'303435fc8803d056d15b963f',1056,34,-8
1753916624.626439,192.168.0.219:5084,3,-66,b'303435fc8803d056d15b963f',3588,35,39
1753916624.655551,192.168.0.219:5084,4,-58,b'303435fc8803d056d15b963f',2980,35,-332
1753916624.849562,192.168.0.219:5084,3,-66,b'303435fc8803d056d15b963f',2660,35,1054
1753916624.878845,192.168.0.219:5084,4,-58,b'303435fc8803d056d15b963f',2484,35,722
1753916625.070783,192.168.0.219:5084,2,-72,b'303435fc8803d056d15b963f',2800,37,8
1753916625.118543,192.168.0.219:5084,3,-67,b'303435fc8803d056d15b963f',2984,36,52
1753916624.978814,192.168.0.219:5084,4,-57,b'303435fc8803d056d15b963f',2584,36,39
1753916625.17822,192.168.0.219:5084,2,-71,b'303435fc8803d056d15b963f',2712,37,5375
1753916625.34435,192.168.0.219:5084,3,-67,b'303435fc8803d056d15b963f',4000,38,488
1753916625.257874,192.168.0.219:5084,4,-58,b'303435fc8803d056d15b963f',3192,38,-195
1753916625.483733,192.168.0.219:5084,1,-66,b'303435fc8803d056d15b963f',52,39,39
1753916625.415318,192.168.0.219:5084,3,-65,b'303435fc8803d056d15b963f',4012,38,1015
1753916625.57071,192.168.0.219:5084,4,-57,b'303435fc8803d056d15b963f',2648,39,-566
1753916625.717489,192.168.0.219:5084,1,-67,b'303435fc8803d056d15b963f',1144,39,-1367
1753916625.633935,192.168.0.219:5084,2,-70,b'303435fc8803d056d15b963f',3128,40,3071
1753916625.687039,192.168.0.219:5084,4,-58,b'303435fc8803d056d15b963f',3284,40,449
1753916625.732936,192.168.0.219:5084,1,-68,b'303435fc8803d056d15b963f',984,40,-234
1753916625.905429,192.168.0.219:5084,2,-66,b'303435fc8803d056d15b963f',314,40,-2559
1753916625.843511,192.168.0.219:5084,4,-56,b'303435fc8803d056d15b963f',1276,41,839
1753916626.063052,192.168.0.219:5084,1,-64,b'303435fc8803d056d15b963f',3280,42,-319
1753916625.951218,192.168.0.219:5084,2,-66,b'303435fc8803d056d15b963f',300,41,-2623
1753916626.045135,192.168.0.219:5084,4,-56,b'303435fc8803d056d15b963f',3404,41,12
1753916626.21278,192.168.0.219:5084,1,-67,b'303435fc8803d056d15b963f',3296,42,767
1753916626.116259,192.168.0.219:5084,2,-69,b'303435fc8803d056d15b963f',3492,42,-639
1753916626.172088,192.168.0.219:5084,4,-57,b'303435fc8803d056d15b963f',3404,42,273
1753916626.233171,192.168.0.219:5084,1,-64,b'303435fc8803d056d15b963f',3298,42,-191
1753916626.292724,192.168.0.219:5084,2,-73,b'303435fc8803d056d15b963f',3288,43,-36
1753916626.311354,192.168.0.219:5084,3,-66,b'303435fc8803d056d15b963f',3560,43,2239
1753916626.338888,192.168.0.219:5084,4,-57,b'303435fc8803d056d15b963f',1944,43,-78
1753916626.518653,192.168.0.219:5084,2,-67,b'303435fc8803d056d15b963f',3064,43,-1054
1753916626.422481,192.168.0.219:5084,3,-65,b'303435fc8803d056d15b963f',3490,43,3199
1753916626.459864,192.168.0.219:5084,4,-57,b'303435fc8803d056d15b963f',300,44,488
1753916626.562737,192.168.0.219:5084,2,-64,b'303435fc8803d056d15b963f',810,44,-767
1753916626.732046,192.168.0.219:5084,3,-65,b'303435fc8803d056d15b963f',3872,45,2175
1753916626.657283,192.168.0.219:5084,4,-57,b'303435fc8803d056d15b963f',24,44,2
1753916626.888479,192.168.0.219:5084,1,-69,b'303435fc8803d056d15b963f',128,46,-127
1753916626.806099,192.168.0.219:5084,3,-65,b'303435fc8803d056d15b963f',3934,45,-2687
1753916626.855418,192.168.0.219:5084,4,-57,b'303435fc8803d056d15b963f',1196,45,-511
1753916627.054931,192.168.0.219:5084,1,-63,b'303435fc8803d056d15b963f',2862,46,1727
1753916626.955575,192.168.0.219:5084,2,-69,b'303435fc8803d056d15b963f',1236,46,-1023
1753916627.011646,192.168.0.219:5084,4,-58,b'303435fc8803d056d15b963f',1176,46,39
1753916627.204312,192.168.0.219:5084,1,-63,b'303435fc8803d056d15b963f',820,47,722
1753916627.119155,192.168.0.219:5084,2,-72,b'303435fc8803d056d15b963f',2976,47,9
1753916627.173032,192.168.0.219:5084,4,-58,b'303435fc8803d056d15b963f',3192,47,-332
1753916627.220505,192.168.0.219:5084,1,-63,b'303435fc8803d056d15b963f',2932,47,-2239
1753916627.400175,192.168.0.219:5084,3,-65,b'303435fc8803d056d15b963f',1392,48,-1777
1753916627.313569,192.168.0.219:5084,4,-58,b'303435fc8803d056d15b963f',3900,48,-410
1753916627.541618,192.168.0.219:5084,1,-66,b'303435fc8803d056d15b963f',3504,49,605
1753916627.696502,192.168.0.219:5084,2,-65,b'303435fc8803d056d15b963f',3722,50,1599
1753916627.629599,192.168.0.219:5084,4,-58,b'303435fc8803d056d15b963f',2116,49,488
1753916627.873199,192.168.0.219:5084,2,-65,b'303435fc8803d056d15b963f',96,50,-1599
1753916627.801389,192.168.0.219:5084,4,-56,b'303435fc8803d056d15b963f',880,50,332
1753916628.038644,192.168.0.219:5084,2,-66,b'303435fc8803d056d15b963f',138,1,-3711
1753916628.074273,192.168.0.219:5084,3,-65,b'303435fc8803d056d15b963f',320,2,2500
1753916627.977783,192.168.0.219:5084,4,-57,b'303435fc8803d056d15b963f',1168,1,644
1753916628.280723,192.168.0.219:5084,3,-65,b'303435fc8803d056d15b963f',1240,2,-767
1753916628.174746,192.168.0.219:5084,4,-58,b'303435fc8803d056d15b963f',3384,2,878
1753916628.544149,192.168.0.219:5084,1,-64,b'303435fc8803d056d15b963f',608,4,63
1753916628.356014,192.168.0.219:5084,3,-67,b'303435fc8803d056d15b963f',3200,3,488
1753916628.509695,192.168.0.219:5084,4,-57,b'303435fc8803d056d15b963f',1444,3,449
1753916628.561603,192.168.0.219:5084,1,-64,b'303435fc8803d056d15b963f',600,4,831
1753916628.611469,192.168.0.219:5084,2,-71,b'303435fc8803d056d15b963f',1664,4,-42
1753916628.695321,192.168.0.219:5084,4,-58,b'303435fc8803d056d15b963f',3564,4,7
1753916628.899607,192.168.0.219:5084,3,-65,b'303435fc8803d056d15b963f',820,5,1171
1753916628.929041,192.168.0.219:5084,4,-58,b'303435fc8803d056d15b963f',3752,5,39
1753916629.097331,192.168.0.219:5084,2,-65,b'303435fc8803d056d15b963f',1422,7,2367
1753916628.999364,192.168.0.219:5084,3,-65,b'303435fc8803d056d15b963f',896,6,-800
1753916629.155698,192.168.0.219:5084,4,-56,b'303435fc8803d056d15b963f',752,6,-371
1753916629.299341,192.168.0.219:5084,1,-66,b'303435fc8803d056d15b963f',3882,8,-703
1753916629.3365,192.168.0.219:5084,2,-65,b'303435fc8803d056d15b963f',3944,7,447
1753916629.25958,192.168.0.219:5084,4,-57,b'303435fc8803d056d15b963f',692,7,937
1753916629.48367,192.168.0.219:5084,1,-66,b'303435fc8803d056d15b963f',3840,8,-2175
1753916629.390102,192.168.0.219:5084,2,-65,b'303435fc8803d056d15b963f',3950,8,319
1753916629.448002,192.168.0.219:5084,4,-57,b'303435fc8803d056d15b963f',3828,8,273
1753916629.676889,192.168.0.219:5084,3,-66,b'303435fc8803d056d15b963f',268,9,-761
1753916629.706438,192.168.0.219:5084,4,-58,b'303435fc8803d056d15b963f',1312,9,117
1753916629.857414,192.168.0.219:5084,1,-64,b'303435fc8803d056d15b963f',290,10,1087
1753916629.778705,192.168.0.219:5084,2,-70,b'303435fc8803d056d15b963f',1452,10,-41
1753916629.823751,192.168.0.219:5084,4,-57,b'303435fc8803d056d15b963f',1352,10,-234
1753916629.881154,192.168.0.219:5084,1,-68,b'303435fc8803d056d15b963f',372,10,-2175
1753916630.058008,192.168.0.219:5084,3,-66,b'303435fc8803d056d15b963f',3036,11,-156
1753916629.971445,192.168.0.219:5084,4,-58,b'303435fc8803d056d15b963f',2804,11,-1015
1753916630.251203,192.168.0.219:5084,3,-67,b'303435fc8803d056d15b963f',2028,12,2011
1753916630.280772,192.168.0.219:5084,4,-57,b'303435fc8803d056d15b963f',2164,12,527
1753916630.333098,192.168.0.219:5084,2,-65,b'303435fc8803d056d15b963f',342,13,-1727
1753916630.39198,192.168.0.219:5084,4,-57,b'303435fc8803d056d15b963f',44,13,39
